Scheme Code;ISIN Div Payout/ ISIN Growth;ISIN Div Reinvestment;Scheme Name;Net Asset Value;Date
113143;INF959L01114;INF959L01122;Navi Regular Savings Fund - Quarterly IDCW;13.7932;30-Aug-2022
119156;INF959L01676;-;Navi Regular Savings Fund-Direct Plan-Growth Option;26.0089;30-Aug-2022
113142;INF959L01130;-;Navi Regular Savings Fund-Growth;22.4271;30-Aug-2022
148291;INF204KB15O7;INF204KB16O5;NIPPON INDIA HYBRID BOND FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - MONTHLY IDCW Option;0.0000;30-Aug-2022
148292;INF204KB17O3;INF204KB18O1;NIPPON INDIA HYBRID BOND FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - QUARTERLY IDCW Option;0.0000;30-Aug-2022
148294;INF204KB10P5;INF204KB11P3;NIPPON INDIA HYBRID BOND FUND -  SEGREGATED PORTFOLIO 2 - MONTHLY IDCW Option;0.0000;30-Aug-2022
148295;INF204KB12P1;INF204KB13P9;NIPPON INDIA HYBRID BOND FUND -  SEGREGATED PORTFOLIO 2 - QUARTERLY IDCW Option;0.0000;30-Aug-2022
118727;INF204K01YW2;INF204K01YX0;NIPPON INDIA HYBRID BOND FUND - DIRECT Plan - MONTHLY IDCW Option;11.5962;30-Aug-2022
118729;INF204K01YY8;INF204K01YZ5;NIPPON INDIA HYBRID BOND FUND - DIRECT Plan - QUARTERLY IDCW Option;12.8579;30-Aug-2022
118726;INF204K01YV4;-;Nippon India Hybrid Bond Fund - Direct Plan Growth Plan - Growth Option;48.9541;30-Aug-2022
102173;INF204K01FE9;INF204K01FF6;NIPPON INDIA HYBRID BOND FUND - MONTHLY IDCW Option;10.6901;30-Aug-2022
102174;INF204K01FG4;INF204K01FH2;NIPPON INDIA HYBRID BOND FUND - QUARTERLY IDCW Option;12.2445;30-Aug-2022
148143;INF204KB12K2;-;Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Direct Plan Growth Plan - Growth Option;4.0808;10-Jul-2020
148139;INF204KB14K8;INF204KB13K0;Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Direct Plan Monthly Dividend Plan;1.0786;10-Jul-2020
148140;INF204KB15K5;INF204KB16K3;Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Direct Plan Quarterly Dividend Plan;1.0860;10-Jul-2020
148141;INF204KB17K1;-;Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Growth Plan;3.8398;10-Jul-2020
148142;INF204KB18K9;INF204KB19K7;Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Monthly Dividend Plan;0.9969;10-Jul-2020
148144;INF204KB10L4;INF204KB11L2;Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Quarterly Dividend Plan;1.0493;10-Jul-2020
148296;INF204KB14O0;-;Nippon India Hybrid Bond Fund - Segregated Portfolio 2 - Direct Plan - Growth Plan - Growth Option;0.0000;30-Aug-2022
148293;INF204KB19O9;-;Nippon India Hybrid Bond Fund - Segregated Portfolio 2 - Growth Plan;0.0000;30-Aug-2022
102172;INF204K01FD1;-;Nippon India Hybrid Bond Fund-Growth Plan;45.3358;30-Aug-2022
148958;INF879O01175;-;Parag Parikh Conservative Hybrid Fund - Direct Plan - Growth;11.0686;30-Aug-2022
148961;INF879O01167;INF879O01159;Parag Parikh Conservative Hybrid Fund - Direct Plan - Monthly IDCW;10.1098;30-Aug-2022
148959;INF879O01209;-;Parag Parikh Conservative Hybrid Fund - Regular Plan - Growth;11.0264;30-Aug-2022
148960;INF879O01191;INF879O01183;Parag Parikh Conservative Hybrid Fund - Regular Plan - Monthly IDCW;10.2103;30-Aug-2022
119836;INF200K01TV2;INF200K01TW0;SBI Conservative Hybrid Fund  - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW);18.0386;30-Aug-2022
119837;INF200K01TQ2;INF200K01TR0;SBI Conservative Hybrid Fund - Direct Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW);23.5435;30-Aug-2022
119839;INF200K01TS8;-;SBI Conservative Hybrid Fund - Direct Plan - Growth;59.0382;30-Aug-2022
119838;INF200K01TT6;INF200K01TU4;SBI Conservative Hybrid Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW);21.6114;30-Aug-2022
100929;INF200K01909;INF200K01917;SBI Conservative Hybrid Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW);19.3383;30-Aug-2022
100968;INF200K01859;-;SBI Conservative Hybrid Fund - Regular Plan - Growth;54.8241;30-Aug-2022
100927;INF200K01867;INF200K01875;SBI Conservative Hybrid Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW);16.8405;30-Aug-2022
100928;INF200K01883;INF200K01891;SBI Conservative Hybrid Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW);15.8118;30-Aug-2022
119639;INF903J01RM6;-;Sundaram Debt Oriented Hybrid Fund Direct Plan - Bonus;0.0000;26-Sep-2013
119635;INF903J01OP6;-;Sundaram Debt Oriented Hybrid Fund Direct Plan - Growth;25.7190;30-Aug-2022
119638;INF903J01OS0;INF903J01OV4;Sundaram Debt Oriented Hybrid Fund Direct Plan - Half yearly Income Distribution cum Capital Withdrawal (IDCW);17.2582;30-Aug-2022
119636;INF903J01OQ4;INF903J01OT8;Sundaram Debt Oriented Hybrid Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW);13.5075;30-Aug-2022
119637;INF903J01OR2;INF903J01OU6;Sundaram Debt Oriented Hybrid Fund Direct Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW);17.2652;30-Aug-2022
118323;INF903J01MC8;-;Sundaram Debt Oriented Hybrid Fund Regular Plan - Bonus;0.0000;17-Dec-2012
112868;INF903J01HB0;-;Sundaram Debt Oriented Hybrid Fund Regular Plan - Growth;23.9636;30-Aug-2022
112869;INF903J01HE4;INF903J01HH7;Sundaram Debt Oriented Hybrid Fund Regular Plan - Half yearly Income Distribution cum Capital Withdrawal (IDCW);15.9541;30-Aug-2022
112867;INF903J01HC8;INF903J01HF1;Sundaram Debt Oriented Hybrid Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW);13.4019;30-Aug-2022
112870;INF903J01HD6;INF903J01HG9;Sundaram Debt Oriented Hybrid Fund Regular Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW);16.0210;30-Aug-2022
148106;INF789F1AQP1;-;UTI - Regular Saving Fund (Segregated - 17022020) - Direct Plan - Growth Option;4.08;27-Jan-2022
148112;INF789F1AQM8;-;UTI - Regular Saving Fund (Segregated - 17022020) - Direct Plan - Monthly Payment Option;4.0131;27-Jan-2022
148105;INF789F1AQJ4;-;UTI - Regular Saving Fund (Segregated - 17022020) - Regular Plan - Growth Option;3.8396;27-Jan-2022
148108;INF789F1AQG0;-;UTI - Regular Saving Fund (Segregated - 17022020) - Regular Plan - Monthly Payment Option;3.8416;27-Jan-2022
148115;INF789F1AQQ9;INF789F1AQR7;UTI Regular Saving Fund ( Segregated - 17022020) - Direct Plan - Flexi IDCW;3.4135;27-Jan-2022
148109;INF789F1AQN6;INF789F1AQO4;UTI Regular Saving Fund ( Segregated - 17022020) - Direct Plan - Monthly IDCW;1.4527;27-Jan-2022
148111;INF789F1AQK2;INF789F1AQL0;UTI Regular Saving Fund ( Segregated - 17022020) - Regular Plan - Flexi IDCW;3.1928;27-Jan-2022
148104;INF789F1AQH8;INF789F1AQI6;UTI Regular Saving Fund ( Segregated - 17022020) - Regular Plan - Monthly IDCW;1.3512;27-Jan-2022
120779;INF789F01UJ7;-;UTI - Regular Savings Fund - Direct Plan - Growth Option;56.0889;30-Aug-2022
120790;INF789F01UM1;-;UTI - Regular Savings Fund - Direct Plan - Monthly Payment Option;55.1748;30-Aug-2022
102535;INF789F01893;-;UTI - Regular Savings Fund - Regular Plan - Growth Option;52.7393;30-Aug-2022
102533;INF789F01927;-;UTI - Regular Savings Fund - Regular Plan - Monthly Payment Option;52.7664;30-Aug-2022
120789;INF789F01UH1;INF789F01UI9;UTI Regular Savings Fund - Direct Plan - Flexi IDCW;40.7899;30-Aug-2022
120778;INF789F01UK5;INF789F01UL3;UTI Regular Savings Fund - Direct Plan - Monthly IDCW;17.2038;30-Aug-2022
102534;INF789F01877;INF789F01885;UTI Regular Savings Fund - Regular Plan - Flexi IDCW;37.7591;30-Aug-2022
102536;INF789F01901;INF789F01919;UTI Regular Savings Fund - Regular Plan - Monthly IDCW;15.8136;30-Aug-2022
131670;INF084M01DJ5;-;Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option;81.77;30-Aug-2022
131666;INF084M01AB8;-;Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option;74.46;30-Aug-2022
131671;INF084M01DK3;INF084M01DL1;Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW;25.14;30-Aug-2022
